,Column Labels,,,,,,,,,,,,,,,,,,,21494.66667,40.00290958,4.937382115,,,,,RAM,RAM,RAM,Path Cost,Path Cost,Path Cost,Max Depth,Max Depth,Max Depth,Search Depth,Search Depth,Search Depth,Expanded Nodes,Expanded Nodes,Expanded Nodes
,Run Time,,,Path Cost,,,Max Depth,,,Search Depth,,,Expanded Nodes,,,RAM,,,,8103.666667,47.13163519,4.863846145,Starting Grid,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS,A*,BFS,DFS
Row Labels,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,ast,bfs,dfs,,14853.33333,32.03324485,3.489631066,45812763,109.0007615,7.530999899,3.476967335,0.536712646,8.075897217,4.333206177,28,28,64428,28,29,64438,28,28,64428,8873,179427,85402
67841352,12.5290,6.3642,0.1090,26,26,"2,972",26,27,"2,972",26,26,"2,972","2,551","156,342","3,052",0.14,4.19,0.14,,11698.33333,11.11403791,0.700234041,201486573,6.533817768,6.274613857,4.734000206,0.134994507,4.198760986,4.338241577,25,25,63253,25,26,66123,25,25,63253,2104,153637,111740
71645382,2.5590,3.7420,2.2220,22,22,"45,326",22,23,"45,326",22,22,"45,326","1,108","95,377","50,403",0.13,4.19,2.26,,20678.33333,5.888447364,0.694952923,402851637,7.411000252,5.029196262,3.939513683,0.134994507,4.198760986,4.335220337,23,23,65101,23,24,65111,23,23,65101,1984,122644,89080
72153648,7.6809,4.7250,6.7550,24,24,"17,670",24,25,"65,982",24,24,"17,670","2,840","116,896","167,036",0.14,4.19,8.24,,20701,5.830085039,0.689398551,824563701,24.59250975,7.167604685,1.581999302,0.516059875,8.073379517,2.205810547,27,27,35041,27,28,35041,27,27,35041,3641,177453,37289
73241685,0.3790,0.9480,2.1510,20,18,"45,212",20,19,"45,212",20,18,"45,212",402,"23,942","50,240",0.03,2.08,2.26,,21692,5.181345383,0.679976215,801473562,7.432000399,6.528609276,3.704732418,0.133872986,4.198760986,4.324645996,25,25,61985,25,26,61985,25,25,61985,1934,154545,78352
73584621,5.0503,6.7896,3.1482,26,26,"61,066",26,27,"61,066",26,26,"61,066","1,867","169,255","75,977",0.13,8.08,4.32,,18712.66667,6.84716932,0.67340031,758612403,6.824999094,6.226745605,4.438510418,0.134994507,4.198760986,4.338241577,25,25,62053,25,26,66123,25,25,62053,1951,152317,114376
74652183,1.2878,4.7164,3.9080,24,24,"65,694",24,25,"65,982",24,24,"65,694","1,139","116,746","101,580",0.13,4.19,4.34,,27704,1.641999483,0.671426403,680473125,4.697999954,6.522524595,4.3235116,0.132881165,4.190200806,4.338745117,26,26,65024,26,27,66488,26,26,65024,1683,164626,106187
75326841,1.6305,5.0240,1.6350,24,24,"38,102",24,25,"38,102",24,24,"38,102",940,"120,608","41,066",0.13,4.19,2.22,,17233.66667,7.595248938,0.660461542,230817456,8.991508722,6.638999462,4.910999775,0.136253357,4.190200806,4.338745117,26,26,56086,26,27,66488,26,26,56086,2331,160399,126188
75834162,0.3720,3.7349,2.3970,22,22,"50,494",22,23,"50,494",22,22,"50,494",398,"89,645","57,597",0.03,4.19,4.28,,21782.33333,4.951494535,0.658176535,826314750,0.596999168,,2.686999798,0.03427887,,4.299468994,22,,55386,22,,55386,22,,55386,519,,64966
76532814,23.6424,6.7180,4.1240,28,26,"65,750",28,27,"65,768",28,26,"65,750","4,754","163,686","94,836",0.52,4.19,4.34,,21709.33333,4.913571119,0.64835684,245173806,14.31900024,6.06674695,2.399999619,0.137672424,4.198760986,4.283859253,25,25,51651,25,26,51651,25,25,51651,2629,144543,58866
76538412,24.7675,7.3570,4.8550,28,28,"58,416",28,29,"65,982",28,28,"58,416","3,681","177,761","121,903",0.52,8.08,4.34,,20063.66667,5.739279906,0.633141723,406513872,5.013999701,5.866483688,3.974000216,0.132881165,4.198760986,4.335723877,25,25,65297,25,26,65298,25,25,65297,1611,144792,90033
78136452,0.2410,3.4992,,22,22,,22,23,,22,22,,316,"85,271",,0.03,4.19,,,19875.33333,5.735245943,0.619314362,876305421,3.588715315,6.768998861,4.382999182,0.133872986,8.088485718,4.338241577,26,26,65076,26,27,66122,26,26,65076,1911,163994,105530
78642153,13.1220,6.8686,3.2347,26,26,"57,914",26,27,"57,914",26,26,"57,914","2,621","162,092","69,509",0.14,4.19,4.31,,20487.33333,5.361645301,0.616811608,502173846,5.947031021,6.561297655,4.709511042,0.136253357,4.198760986,4.338241577,25,25,60141,25,26,66123,25,25,60141,2377,157057,118541
84327615,0.9820,3.5285,1.5900,22,22,"34,250",22,23,"34,250",22,22,"34,250",720,"82,631","36,452",0.04,4.19,2.20,,21444,4.765400648,0.61139802,430526871,5.144195795,6.941543818,5.119998217,0.136253357,8.075897217,4.338745117,26,26,59574,26,27,66488,26,26,59574,2246,166917,120079
85361724,0.0550,0.7540,1.8960,18,18,"41,734",18,19,"41,734",18,18,"41,734",125,"20,427","45,571",0.01,2.08,2.24,,15506.33333,8.190826654,0.611236109,16273854,6.395000696,6.392422915,3.297512293,0.133872986,4.190200806,4.322631836,26,26,61410,26,27,61410,26,26,61410,1890,161881,76970
85432761,83.0935,7.7337,5.2725,28,28,"44,504",28,29,"65,982",28,28,"44,504","8,639","178,935","141,711",0.54,8.08,4.34,,21912,4.488581975,0.610572913,63287154,3.44699955,6.626202345,4.22300005,0.132881165,4.190200806,4.337738037,26,26,64280,26,27,65982,26,26,64280,1486,162365,108200
